Periode,Wilayah,Kode Wilayah,Kota/Kab,Kode Kota/Kab,Status Sekolah,Tingkat - I,Tingkat - II,Tingkat - III,Tingkat - IV,Tingkat - V,Tingkat - VI,Jumlah
2016,PROV. JAWA TENGAH,33,KAB. CILACAP,3301,Swasta,1,1,3,0,1,1,7
2016,PROV. JAWA TENGAH,33,KAB. CILACAP,3301,Negeri,49,16,21,24,22,18,150
2016,PROV. JAWA TENGAH,33,KAB. BANYUMAS,3302,Swasta,1,3,3,3,3,2,15
2016,PROV. JAWA TENGAH,33,KAB. BANYUMAS,3302,Negeri,18,10,8,16,14,31,97
2016,PROV. JAWA TENGAH,33,KAB. PURBALINGGA,3303,Negeri,8,12,5,13,10,6,54
2016,PROV. JAWA TENGAH,33,KAB. PURBALINGGA,3303,Swasta,0,0,0,0,0,0,0
2016,PROV. JAWA TENGAH,33,KAB. BANJARNEGARA,3304,Swasta,3,2,1,0,1,0,7
2016,PROV. JAWA TENGAH,33,KAB. BANJARNEGARA,3304,Negeri,14,5,8,6,6,8,47
2016,PROV. JAWA TENGAH,33,KAB. KEBUMEN,3305,Swasta,0,2,0,2,2,0,6
2016,PROV. JAWA TENGAH,33,KAB. KEBUMEN,3305,Negeri,10,9,11,10,10,8,58
2016,PROV. JAWA TENGAH,33,KAB. PURWOREJO,3306,Negeri,10,5,3,4,4,4,30
2016,PROV. JAWA TENGAH,33,KAB. PURWOREJO,3306,Swasta,0,1,0,0,0,0,1
2016,PROV. JAWA TENGAH,33,KAB. WONOSOBO,3307,Negeri,14,7,9,3,6,4,43
2016,PROV. JAWA TENGAH,33,KAB. WONOSOBO,3307,Swasta,1,0,0,0,0,0,1
2016,PROV. JAWA TENGAH,33,KAB. MAGELANG,3308,Swasta,0,1,1,1,2,1,6
2016,PROV. JAWA TENGAH,33,KAB. MAGELANG,3308,Negeri,12,8,11,7,20,8,66
2016,PROV. JAWA TENGAH,33,KAB. BOYOLALI,3309,Negeri,9,6,10,5,10,13,53
2016,PROV. JAWA TENGAH,33,KAB. BOYOLALI,3309,Swasta,3,3,0,2,1,1,10
2016,PROV. JAWA TENGAH,33,KAB. KLATEN,3310,Swasta,5,2,3,2,2,1,15
2016,PROV. JAWA TENGAH,33,KAB. KLATEN,3310,Negeri,6,6,10,5,13,1,41
